#_1_מישהו #_1_הֵכִין #_1_למישהו חביתה,#_1_someone #_1_made #_1_someone+obj an omlete,
קוראים #_1_לו #_1_יובל ו#_1_הוא #_1_אהב חיות,#_1_his name is #_1_Yuval and #_1_he #_1_liked animals,PRESENT
#_1_למישהו לא #_1_היה+יהיה אכפת מה #_2_מישהו #_2_אמר,#_1_someone #_1_didn't care about what #_2_someone #_2_said,
#_1_מישהו #_1_הקריא לילד #_1_שלו סיפור,#_1_someone #_1_read #_1_his son a story,
#_1_מישהו #_1_הלך לבית #_2_שלמישהו,#_1_someone #_1_went to #_2_someone's house,
#_1_מישהו לא #_1_הִרְגִּישׁ טוב,#_1_someone #_1_didn't feel well,
#_1_מישהו לא #_1_היה במצב רוח,#_1_someone #_1_was not in the mood,
#_1_ז_הגיע #_1_למישהו כי #_1_הוא #_1_עבר_הווה_התנהג לא יפה,#_1_someone #_1_deserved it cause #_1_he #_1_past_present_behaved badly,
#_1_מישהו #_1_חסר #_2_למישהו,#_2_someone #_2_missed #_1_someone+obj,NOT WORKING YET
#_1_מישהו #_1_הקריא ל#_2_יובל+מושא סיפור,#_1_someone #_1_read #_2_Yuval+obj a story,
#_1_מישהו לא #_1_הכין דבר כזה מימי#_1_ו,#_1_someone #_1_didn't see such a thing in #_1_his life,
לא #_1_היה+יהיה #_1_למישהו אכפת מה #_2_מישהו #_2_אמר,#_1_someone #_1_didn't care about what #_2_someone #_2_said,
לא #_1_היה+יהיה אכפת #_1_למישהו מה #_2_מישהו #_2_אמר,#_1_someone #_1_didn't care about what #_2_someone #_2_said,
"#_1_למישהו לא #_1_היה+יהיה אכפת מה #_2_עמוס, חתול#_1_ו הקטן, #_2_אמר","#_1_someone #_1_didn't care about what #_2_Amos, #_1_his little cat, #_2_said",
#_1_מישהו #_1_נטה להפגע בקלות,#_1_someone #_1_tended to get hurt easily,
"#_1_עתיד_עשה ל#_1_מירב, בת#_2_ו, מקום","make #_1_Meirav, #_2_his daughter, room",
"תעשה ל#_1_מירב, בת#_2_ו של #_2_יובל, מקום","make #_1_Meirav, #_2_Yuval 's daughter room",
הראש #_1_שלמישהו #_2_ז_גרד,#_1_someone's head #_2_M_itched,
#_1_מישהו #_1_הקריא לבנ#_1_ו סיפור,#_1_someone #_1_read #_1_his son a story,
#_1_מישהו #_1_הלך לבית #_1_שלו,#_1_someone #_1_went to home,
#_1_מישהו לא #_1_אמר #_2_למישהו,#_1_someone #_1_didn't tell #_2_someone+obj,
#_1_מישהו לא #_1_אמר ל#_2_ו,#_1_someone #_1_didn't tell #_2_him,
קוראים #_1_למישהו לאכול,They're calling #_1_someone+obj to eat,
לא #_1_ז_התחשק #_1_למישהו לאכול,#_1_someone #_1_didn't feel like eating,
"לא #_1_ז_התחשק ל#_1_עמוס, בנ#_2_ו של #_2_יובל","#_1_Amos, #_2_Yuval 's son, #_1_didn't feel like",
#_1_למישהו לא #_1_היה+יהיה אכפת אם #_2_מישהו #_2_רצה לאכול #_3_עם+מישהו,#_1_someone #_1_didn't care whether #_2_someone #_2_wanted to eat with #_3_someone+obj,
"תעשה ל#_1_עמוס, בנ#_2_ו של #_2_יובל מקום","make #_1_Amos, #_2_Yuval 's son, room",
#_1_מישהו #_2_את+מישהו #_1_אהב,#_1_someone #_1_liked #_2_someone+obj,
#_1_את+מישהו #_2_מישהו #_2_אהב,#_2_someone #_2_liked #_1_someone+obj,
#_1_מישהו #_1_חשק #_2_במישהו,#_1_someone #_1_desired #_2_someone+obj,
#_1_מישהו #_2_במישהו #_1_חשק,#_1_someone #_1_desired #_2_someone+obj,
#_2_במישהו #_1_מישהו #_1_חשק,#_1_someone #_1_desired #_2_someone+obj,
#_2_במישהו #_1_חשק  #_1_מישהו,#_1_someone #_1_desired #_2_someone+obj,
